spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Acropora digitifera,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,digitifera,Acropora,"(Dana, 1846)",Staghorn coral,No,No,No,No,NT,-,EN,2005 (Guest et al (a)),2012 (Ng et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,"X (Ng et al, ex situ nursery)",,,X (Raffles),X,X,X,,X,"Not found at many sites. Recent population change unknown.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.","May be listed as ""pinecone acropora"" in some intertidal areas (Terumbu Berkas, Terumbu Salu) by WildSingapore, but ID cannot be confirmed based on pictures alone.

In Lim et al 2020, Acropora is only listed at genus level","Guest et al 2005a; Huang et al 2009

Ng et al 2012 (ex situ coral nursery)"
Acropora divaricata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,divaricata,Acropora,"(Dana, 1846)",,No,No,No,No,NT,-,DD,1881 (as Madrepora tenuispicata; Studer),"1985 (ZRC, 19850802)",2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Iffah(LKCNHM)
Acropora donei,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,donei,Acropora,"Veron & Wallace, 1984",Purple-tipped acropora,No,No,No,No,VU,-,DD,"1986 (ZRC, 19860829)",2009 (Huang et al),6,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Guest et al 2005a; Huang et al 2009

Goh et al 1989 (anomuran symbionts)"
Acropora elseyi,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,elseyi,Acropora,"(Brook, 1892)",Bottlebrush coral,No,No,No,No,LC,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.0079,0.260275,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Acropora florida,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,florida,Acropora,"(Dana, 1846)",,No,No,No,No,NT,-,DD,1881 (as Madrepora gravida; Studer),2009 (Huang et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Guest et al 2005a; Huang et al 2009
Acropora glauca,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,glauca,Acropora,"(Brook, 1893)",,No,No,No,No,NT,-,DD,2009 (Huang et al),2009 (Huang et al),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009
Acropora grandis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,grandis,Acropora,"(Brook, 1892)",,No,No,No,No,LC,-,DD,1995 (Loo & Chou),2009 (Huang et al),3,10,30,-100,-0.00138,0.527623,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Guest et al 2005a; Huang et al 2009
Acropora granulosa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,granulosa,Acropora,"(Milne Edwards, 1860)",Tubular table coral,No,No,No,No,NT,-,DD,2005 (Guest et al (a)),2009 (Huang et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Guest et al 2005a; Huang et al 2009
Acropora horrida,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,horrida,Acropora,"(Dana, 1846)",Blue staghorn coral,No,No,No,No,VU,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.02431,0.295836,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, tabulate.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Acropora humilis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,humilis,Acropora,"(Dana, 1846)",Finger coral,No,No,No,No,NT,-,DD,2005 (Guest et al (a)),2009 (Huang et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Guest et al 2005a; Huang et al 2009
Acropora hyacinthus,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,hyacinthus,Acropora,"(Dana, 1846)",Brush coral,No,No,No,No,NT,-,DD,1881 (as Madrepora surculosa; Studer),2019 (Chow et al),11,10,30,,0.016775,0.018398,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",RL-W,,,"X (Bongiorni et al, in situ nursery)",,,X (Raffles),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Studer 1881; Iffah(LKCNHM); Guest et al 2005a; Huang et al 2009; Chow et al 2019

Goh et al 1989 (anomuran symbionts); Bongiorni et al 2011 (in situ coral nursery); Tay et al 2011 (larval settlement competencies); Toh et al 2012 (spawning timing)"
Acropora intermedia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,intermedia,Acropora,"(Brook, 1891)",,No,No,No,No,???,-,DD,2002 (Guest et al),2009 (Huang et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Guest et al 2005a; Huang et al 2009

Guest et al 2002 (multispecific synchronus spawning)"
Acropora latistella,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,latistella,Acropora,"(Brook, 1892)",,No,No,No,No,LC,-,DD,"1986 (ZRC, 19860829)",2009 (Huang et al),4,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Guest et al 2005a; Huang et al 2009

Goh et al 1989 (anomuran symbionts)"
Acropora longicyathus,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,longicyathus,Acropora,"(Milne Edwards, 1860)",,No,No,No,No,LC,-,DD,1881 (as Madrepora longecyathus; Studer),1991 (Huang et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Huang et al 2009(ZRC.1991.624)
Acropora loripes,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,loripes,Acropora,"(Brook, 1892)",Blue tip coral,No,No,No,No,NT,-,DD,2005 (Guest et al (a)),2017 (Taira et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,"X (Taira et al (b), in situ nursery)",,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Guest et al 2005a; Huang et al 2009

Taira et al 2017b (juv. butterflyfishes inhabiting nursery)"
Acropora lutkeni,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,lutkeni,Acropora,"Crossland, 1952",,No,No,No,No,NT,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00236,0.413527,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,"X (Raffles)
X (SultanShoal)",,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Acropora microclados,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,microclados,Acropora,"(Ehrenberg, 1834)",,No,No,No,No,VU,-,DD,1881 (as Madrepora microclados; Studer),2009 (Huang et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Guest et al 2005a; Huang et al 2009
Acropora microphthalma,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,microphthalma,Acropora,"(Verrill, 1869)",Small staghorn coral,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850614)",2018 (Wong et al),3,10,30,-23.23943662,0.010946,0.617387,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.","HA-W, RL-W",,,,,,,,,,,,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Wong et al 2018
Acropora millepora,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,millepora,Acropora,"(Ehrenberg, 1834)",Plate acropora,No,No,No,No,NT,-,EN,1881 (as Madrepora convexa & M.millepora; Studer),2021 (Lee et al),8,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,"X (Bongiorni et al, in situ nursery)",,,X (Raffles),X,X,X,X,X,"Not found at many sites. Recent population change unknown.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.","May be listed as ""pinecone acropora"" in some intertidal areas (Terumbu Berkas, Terumbu Salu) by WildSingapore, but ID cannot be confirmed based on pictures alone.

In Lim et al 2020, Acropora is only listed at genus level","Studer 1881; Guest et al 2005a; Huang et al 2009; Chow et al 2019; Lee et al 2021

Bongiorni et al 2011 (in situ coral nursery); Tanzil et al 2016 (Symbiodinium diversity); Quek & Huang 2019 (phylotranscriptomic analysis)"
Acropora muricata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,muricata,Acropora,"(Linnaeus, 1758)",Staghorn coral,No,No,No,No,NT,-,LC,1881 (as Madrepora brachiata; Studer),2017 (REL collections),5,10,30,-9.427792916,0.020316,0.482713,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.","HA-W, RL-W",,,,,,X (Raffles),,,,,,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Studer 1881; Chuang 1977; Loo & Chou 1995; Guest et al 2005a; Huang et al 2009
Acropora nana,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,nana,Acropora,"(Studer, 1879)",,No,No,No,No,NT,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00291,0.467971,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Acropora nasuta,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,nasuta,Acropora,"(Dana, 1846)",Branching staghorn coral,No,No,No,No,NT,-,EN,"1986 (ZRC, 19860826)",2009 (Huang et al),5,10,30,-100,-0.00432,0.270261,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),X,X,X,,X,"Not found at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005a; Huang et al 2009

Goh et al 1989 (anomuran symbionts)"
Acropora palmerae,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,palmerae,Acropora,"Wells, 1954 ",,No,No,No,No,VU,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Acropora polystoma,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,polystoma,Acropora,"(Brook, 1891)",,No,No,No,No,VU,-,DD,"1987 (ZRC.1987.1512, Huang et al)","1987 (ZRC.1987.1512, Huang et al)",1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009(ZRC.1987.1512)
Acropora pulchra,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,pulchra,Acropora,"(Brook, 1891)",,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850726)","1985 (ZRC, 19850726)",1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM)
Acropora robusta,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,robusta,Acropora,"(Dana, 1846)",,No,No,No,No,LC,-,DD,1881 (as Madrepora nobilis; Studer),1995 (Loo & Chou),2,10,30,-100,-0.0176,0.43347,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Loo & Chou 1995
Acropora samoensis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,samoensis,Acropora,"(Brook, 1891)",,No,No,No,No,LC,-,DD,2005 (Guest et al (a)),2009 (Huang et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Guest et al 2005a; Huang et al 2009
Acropora secale,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,secale,Acropora,"(Studer, 1878)",Purple tip acropora,No,No,No,No,NT,-,DD,1881 (as Madrepora secale; Studer),2017 (BioBlitz_SIMP2017),10,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,X (SIMP),,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Iffah(LKCNHM); Guest et al 2005a; Huang et al 2009; BioBlitz_SIMP2017

Goh et al 1989 (anomuran symbionts)"
Acropora selago,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,selago,Acropora,"(Studer, 1879)",,No,No,No,No,NT,-,DD,"1986 (ZRC, 19860909)",2009 (Huang et al),5,10,30,-100,-0.00177,0.467971,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005a; Huang et al 2009

Goh et al 1989 (anomuran symbionts)"
Acropora solitaryensis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,solitaryensis,Acropora,"Veron & Wallace, 1984",,No,No,No,No,VU,-,DD,2009 (Huang et al),2009 (Huang et al),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009
Acropora spicifera,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,spicifera,Acropora,"(Dana, 1846)",,No,No,No,No,VU,-,EN,1881 (as Madrepora spicifera; Studer),2019 (Chow et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,X,X,X,,X,"Not found at many sites. Recent population change unknown.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Studer 1881; Huang et al 2009; Chow et al 2019
Acropora subglabra,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,subglabra,Acropora,"(Brook, 1891)",,No,No,No,No,LC,-,EN,2009 (Huang et al),2019 (Chow et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,X,X,X,,X,"Not found at many sites. Recent population change unknown.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Huang et al 2009; Chow et al 2019
Acropora subulata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,subulata,Acropora,"(Dana, 1846)",,No,No,No,No,LC,-,DD,"1986 (ZRC, 19860819)",1989 (Goh et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM)

Goh et al 1989 (anomuran symbionts)"
Acropora tenuis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,tenuis,Acropora,"(Dana, 1846)",,No,No,No,No,NT,-,DD,"1986 (ZRC, 19860812)",2005 (Guest et al (a)),4,10,30,-100,-0.01178,0.325768,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, tabulate, encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005a

Goh et al 1989 (anomuran symbionts)"
Acropora valenciennesi,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,valenciennesi,Acropora,"(Milne Edwards, 1860)",,No,No,No,No,LC,-,DD,2009 (Huang et al),2009 (Huang et al),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009
Acropora valida,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,valida,Acropora,"(Dana, 1846)",,No,No,No,No,LC,-,LC,1956 (as Acropora variabilis; Purchon),2020 (Loo et al),14,10,30,559.8666667,0.099366,2.14E-05,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, tabulate, submassive.
Hermaphroditic broadcaster.",,"HA-W, HP-W, JO-S, KU-NE, PSD-NW, RL-W, SJ-NW, SJ-S, TM-S, TPT-SW",X (SIMP),"X (Bongiorni et al, in situ nursery)",,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Purchon 1956; Chuang 1961; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019

Goh et al 1989 (anomuran symbionts); Bongiorni et al 2011 (in situ coral nursery); Loo et al 2020 (optimal temperature)"
