Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Abun,TRic,TDiv,PRic,PDiv,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.grow,CWM.skel,CWM.corwidth,CWM.cmd,CWM.col,CWM.repmode,CWM.sex,CWM.symb,CWM.branching,CWM.encrusting,CWM.laminar,CWM.massive,CWM.submassive
HA-NE-D3-1986-4-18-T1,SGRET1010-1,Pulau Hantu,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,1,REST,0.3355,13,0.845400574,1503.755734,215.4816292,13,13,2.232136501,0.049096653,0.707195163,0.678104725,0.144457077,0.027526522,32.97574132,1.469190372,20.85923994,363.338301,1,1,0,0,0.131147541,0.734724292,0,0,0.579731744
HA-NE-D3-1986-4-18-T2,SGRET1010-2,Pulau Hantu,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,2,REST,0.1075,4,0.677122769,843.0741368,189.2132909,4,4,0.119497189,0.049096653,0.849595122,0.67232366,0.074634968,0.006877594,26.67037037,1.586666667,3.265116279,213.9534884,1,1,1,0,0,0.581395349,1,0,0.372093023
HA-NE-D3-1986-4-18-T3,SGRET1010-3,Pulau Hantu,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,3,REST,0.1365,8,0.837445826,1052.301771,201.8000866,8,8,0.578234104,0.049096653,0.817761038,0.655299657,0.087358504,0.012948268,23.86305732,1.48135,18.11465201,116.4835165,1,1,1,0,0,0.600732601,1,0,0.578754579
HA-NE-D3-1986-4-18-T4,SGRET1010-4,Pulau Hantu,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,4,REST,0.2665,16,0.873240428,1124.097346,193.8953008,16,16,1.593178056,0.049096653,0.779515332,0.772432738,0.121931662,0.025859771,33.4506405,1.514713656,16.64765478,232.945591,1,1,1,0,0,0.454033771,1,0,0.983114447
HA-NE-D3-1986-4-18-T5,SGRET1010-5,Pulau Hantu,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,5,REST,0.537,16,0.893657085,1446.804058,195.8428973,16,16,1.801398363,0.049096653,0.545824263,0.684518248,0.110513074,0.016782976,18.5246041,1.497493743,13.81047486,266.8994413,1,1,1,0,0,0.294227188,0,0,0.586592179
HA-W-D3-1986-5-9-T1,SGRET1014-1,Pulau Hantu,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,1,REST,0.462,15,0.876119732,1453.95992,203.2482445,15,15,2.13417715,0.049096653,0.685331879,0.643753752,0.092377033,0.01419291,20.57498768,1.481974558,12.11044372,183.8744589,1,1,1,0,0.027056277,0.487012987,1,0,0.814935065
HA-W-D3-1986-5-9-T2,SGRET1014-2,Pulau Hantu,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,2,REST,0.67,19,0.890593673,1459.762967,211.5783882,19,19,2.829081519,0.049096653,0.620513445,0.81235865,0.153035597,0.025610061,16.9360738,1.429,10.5891791,430.7729084,1,1,1,0,0.22761194,0.563432836,0,0,0.496268657
HA-W-D3-1986-5-9-T3,SGRET1014-3,Pulau Hantu,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,3,REST,0.39,16,0.880677186,1388.815201,152.7294297,16,16,1.684444917,0.049096653,0.766562608,0.575790463,0.110380387,0.016392637,15.89418214,1.507728337,22.24893617,187.7589744,1,1,1,0,0.070512821,0.675641026,0,1,0.429487179
HA-W-D3-1986-5-9-T4,SGRET1014-4,Pulau Hantu,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,4,REST,0.2125,17,0.891991696,1393.887145,188.811265,17,17,2.643397113,0.049096653,0.722902267,0.728726211,0.158033205,0.027669948,19.02330435,1.359455118,27.29917647,118.7344913,1,1,1,0,0.056470588,0.324705882,0,1,0.428235294
HA-W-D3-1986-5-9-T5,SGRET1014-5,Pulau Hantu,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,5,REST,0.577,17,0.877446843,1331.042468,190.1812949,17,17,1.778997551,0.049096653,0.64747221,0.569633379,0.104336128,0.015029852,23.55173434,1.599358289,16.5135182,300.4640981,1,1,1,0,0.024263432,0.20797227,1,0,0.667244367
HP-E-D3-1986-5-16-T1,SGRET1018-1,Hantu Patch,HP-E,16,5,1986,16/05/1986,1.226466667,103.7462,Slope,Patch,3,1,REST,0.7525,17,0.86564166,1272.599535,141.057169,17,17,0.56598196,0.049096653,0.594902514,0.733206805,0.079893348,0.009640445,25.00529595,1.541091703,11.40282392,231.2026578,1,1,1,0,0,0.491694352,1,0,0.328903654
HP-E-D3-1986-5-16-T2,SGRET1018-2,Hantu Patch,HP-E,16,5,1986,16/05/1986,1.226466667,103.7462,Slope,Patch,3,2,REST,0.5605,16,0.898568485,1276.360095,120.7694962,16,16,0.957897582,0.049096653,0.756419135,0.816220628,0.083874184,0.00919211,23.56375758,1.41904888,9.864808207,233.8138686,1,1,1,0,0,0.570026762,1,0,0.318465656
HP-E-D3-1986-5-16-T3,SGRET1018-3,Hantu Patch,HP-E,16,5,1986,16/05/1986,1.226466667,103.7462,Slope,Patch,3,3,REST,0.5555,17,0.861508473,1415.477559,143.2875227,17,17,1.958012664,0.049096653,0.524364412,0.763985366,0.06104694,0.008066138,20.03390805,1.540245023,15.88591359,126.3830571,1,1,1,0,0.0360036,0.450045005,1,0,0.748874887
HP-E-D3-1986-5-16-T4,SGRET1018-4,Hantu Patch,HP-E,16,5,1986,16/05/1986,1.226466667,103.7462,Slope,Patch,3,4,REST,0.5125,20,0.841975015,1715.444344,197.6661012,20,20,1.706895281,0.049096653,0.696834277,0.81062303,0.099650564,0.012013952,18.60529801,1.417540107,6.801463415,207.804878,1,1,1,0,0,0.27804878,1,0,0.853658537
HP-E-D3-1986-5-16-T5,SGRET1018-5,Hantu Patch,HP-E,16,5,1986,16/05/1986,1.226466667,103.7462,Slope,Patch,3,5,REST,0.719,22,0.916998574,1796.737221,202.125123,22,22,2.924884087,0.049096653,0.774814827,0.778438112,0.101484427,0.014376936,33.32904821,1.368759167,12.3449235,119.8703569,1,1,1,0,0.176634214,0.431154381,0,0,0.76077886
HP-W-D3-1986-6-19-T1,SGRET1022-1,Hantu Patch,HP-W,19,6,1986,19/06/1986,1.226388889,103.7455556,Slope,Patch,3,1,REST,0.7245,6,0.113062434,1006.349207,18.32305007,6,6,0.94880139,0.049096653,0.520348386,0.994886211,0.01268225,0.001571178,25.92735714,1.411136364,1.609109731,72.87094548,1,1,1,1,0,0.983436853,1,0,0.948930297
HP-W-D3-1986-6-19-T2,SGRET1022-2,Hantu Patch,HP-W,19,6,1986,19/06/1986,1.226388889,103.7455556,Slope,Patch,3,2,REST,0.2635,10,0.773322195,1158.856651,157.5173839,10,10,1.623918997,0.049096653,0.692543345,0.849966116,0.085571068,0.011510578,23.37611288,1.314753788,3.441018343,217.5901328,1,1,1,1,0.149905123,0.713472486,1,0,0.506641366
HP-W-D3-1986-6-19-T3,SGRET1022-3,Hantu Patch,HP-W,19,6,1986,19/06/1986,1.226388889,103.7455556,Slope,Patch,3,3,REST,0.1395,8,0.789558202,1168.912788,196.3616384,8,8,1.002276951,0.049096653,0.784942715,0.676093704,0.127909869,0.024245971,34.31001809,1.395418605,2.747849462,263.4408602,1,1,1,1,0.283154122,0.885304659,1,1,0.308243728
HP-W-D3-1986-6-19-T4,SGRET1022-4,Hantu Patch,HP-W,19,6,1986,19/06/1986,1.226388889,103.7455556,Slope,Patch,3,4,REST,0.2725,10,0.714586314,1129.565811,131.9879425,10,10,1.757481957,0.049096653,0.723632396,0.969265234,0.114078184,0.017096019,72.6191067,1.072440476,5.806422018,141.1827957,1,1,1,1,0.146788991,0.825688073,1,0,1.165137615
HP-W-D3-1986-6-19-T5,SGRET1022-5,Hantu Patch,HP-W,19,6,1986,19/06/1986,1.226388889,103.7455556,Slope,Patch,3,5,REST,0.287,13,0.867195183,1355.373119,203.6139968,13,13,1.239474972,0.049096653,0.740809356,0.837600725,0.139525236,0.021236482,49.7740099,1.298368889,5.108013937,189.8888889,1,1,1,0,0.320557491,0.668989547,1,0,0.853658537
RL-E-D3-1987-9-25-T1,SGRET1026-1,Raffles Lighthouse,RL-E,25,9,1987,25/09/1987,1.160555556,103.7415278,Slope,Fringing,3,1,REST,0.18,3,0.491898148,715.6895261,159.8720279,3,3,0.228528508,0.049096653,0.549580065,0.835301997,0.093032532,0.010275338,48.81940299,1.011940299,2.847222222,176.119403,1,1,1,0,0.069444444,1.652777778,1,0,1.208333333
RL-E-D3-1987-9-25-T2,SGRET1026-2,Raffles Lighthouse,RL-E,25,9,1987,25/09/1987,1.160555556,103.7415278,Slope,Fringing,3,2,REST,0.3175,14,0.896149792,1470.585829,206.2001271,14,14,1.716172839,0.049096653,0.763773412,0.929647051,0.151614357,0.023916454,44.15394737,1.235133981,4.843700787,159.9145299,1,1,1,0,0.086614173,0.653543307,1,0,0.582677165
RL-E-D3-1987-9-25-T3,SGRET1026-3,Raffles Lighthouse,RL-E,25,9,1987,25/09/1987,1.160555556,103.7415278,Slope,Fringing,3,3,REST,0.335,13,0.755959011,1523.964357,153.9457004,13,13,1.560677927,0.049096653,0.861892689,0.896438729,0.136065907,0.02079605,61.29719626,1.153865546,2.977985075,125.4545455,1,1,1,1,0.029850746,0.858208955,1,0,1.231343284
RL-E-D3-1987-9-25-T4,SGRET1026-4,Raffles Lighthouse,RL-E,25,9,1987,25/09/1987,1.160555556,103.7415278,Slope,Fringing,3,4,REST,0.3125,9,0.746112,1200.969017,141.0621351,9,9,1.177569748,0.049096653,0.779026773,0.869198218,0.129073198,0.020431417,65.29702912,1.131910377,3.3072,213.9622642,1,1,1,1,0.168,0.896,1,0,1.112
RL-E-D3-1987-9-25-T5,SGRET1026-5,Raffles Lighthouse,RL-E,25,9,1987,25/09/1987,1.160555556,103.7415278,Slope,Fringing,3,5,REST,0.1125,6,0.800987654,985.9120905,155.274398,6,6,0.104527208,0.049096653,0.861032237,0.689755085,0.063431811,0.005282889,16.075,1.449512195,11.18555556,118,1,1,1,0,0,0.533333333,1,0,1.088888889
RL-W-D3-1988-12-13-T1,SGRET1030-1,Raffles Lighthouse,RL-W,13,12,1988,13/12/1988,1.160555556,103.7405556,Slope,Fringing,3,1,REST,0.4975,20,0.866644782,1692.793099,214.6370608,20,20,2.289761732,0.049096653,0.742598044,0.833853932,0.149698641,0.026608511,21.20863095,1.142987013,6.34798995,181.6582915,1,1,1,0,0.030150754,0.748743719,0,0,0.502512563
RL-W-D3-1988-12-13-T2,SGRET1030-2,Raffles Lighthouse,RL-W,13,12,1988,13/12/1988,1.160555556,103.7405556,Slope,Fringing,3,2,REST,0.497,21,0.919156792,1694.866726,213.0784777,21,21,2.026398346,0.049096653,0.521976662,0.821416292,0.135702897,0.020781471,30.02183232,1.207214247,7.949228706,181.7240664,1,1,1,0,0,0.709255533,1,0,0.73138833
RL-W-D3-1988-12-13-T3,SGRET1030-3,Raffles Lighthouse,RL-W,13,12,1988,13/12/1988,1.160555556,103.7405556,Slope,Fringing,3,3,REST,0.327,20,0.910599557,1655.983078,206.0214189,20,20,3.317380829,0.049096653,0.773242565,0.837557838,0.165850205,0.043184414,30.12520833,1.349904988,26.68901631,192.5321101,1,1,1,0,0,0.426605505,1,0,0.770642202
RL-W-D3-1988-12-13-T4,SGRET1030-4,Raffles Lighthouse,RL-W,13,12,1988,13/12/1988,1.160555556,103.7405556,Slope,Fringing,3,4,REST,0.2145,11,0.88040165,1108.193096,190.5512879,11,11,2.535700172,0.049096653,0.751754588,0.784361035,0.146763673,0.035715408,18.5041841,1.527301587,10.26363636,132.642132,1,1,1,0,0,0.501165501,1,0,0.508158508
RL-W-D3-1988-12-13-T5,SGRET1030-5,Raffles Lighthouse,RL-W,13,12,1988,13/12/1988,1.160555556,103.7405556,Slope,Fringing,3,5,REST,0.3925,17,0.885715445,1530.342685,158.1003891,17,17,2.245127395,0.049096653,0.71206223,0.791645657,0.102607019,0.015848946,18.34591837,1.21137931,10.69118896,158.3312102,1,1,1,0,0,0.770700637,1,0,0.414012739
SE-NE-D3-1986-5-6-T1,SGRET1034-1,Pulau Semakau,SE-NE,6,5,1986,6/05/1986,1.218333333,103.7608333,Slope,Fringing,3,1,REST,0.581,16,0.87500037,1279.884747,132.6289918,16,16,1.911518278,0.049096653,0.666474201,0.780500201,0.127751615,0.019160591,15.54662273,1.331709845,16.75447504,295.581189,1,1,1,0,0,0.424268503,1,0,0.335628227
SE-NE-D3-1986-5-6-T2,SGRET1034-2,Pulau Semakau,SE-NE,6,5,1986,6/05/1986,1.218333333,103.7608333,Slope,Fringing,3,2,REST,0.25,10,0.8682,1014.231337,183.1349281,10,10,1.35379475,0.049096653,0.831716094,0.698344996,0.112863743,0.017248098,20.09117647,1.327037037,11.7635,172.7472527,1,1,1,0,0.1,0.37,0,1,0.53
SE-NE-D3-1986-5-6-T3,SGRET1034-3,Pulau Semakau,SE-NE,6,5,1986,6/05/1986,1.218333333,103.7608333,Slope,Fringing,3,3,REST,0.2965,14,0.885479555,1343.235412,193.8280041,14,14,1.385151978,0.049096653,0.760718668,0.79969844,0.119401337,0.024029126,35.01472393,1.360763547,12.05233277,169.9441341,1,1,1,0,0,0.735244519,1,0,0.440134907
SE-NE-D3-1986-5-6-T4,SGRET1034-4,Pulau Semakau,SE-NE,6,5,1986,6/05/1986,1.218333333,103.7608333,Slope,Fringing,3,4,REST,0.3995,19,0.934588135,1453.120213,184.6634137,19,19,1.725666189,0.049096653,0.807033795,0.786019679,0.117829237,0.014696051,26.15662651,1.286838006,11.98410513,193.5107731,1,1,1,0,0,0.50563204,0,1,0.266583229
SE-NE-D3-1986-5-6-T5,SGRET1034-5,Pulau Semakau,SE-NE,6,5,1986,6/05/1986,1.218333333,103.7608333,Slope,Fringing,3,5,REST,0.5745,21,0.882412602,1380.643981,167.617377,21,21,2.136372515,0.049096653,0.658153645,0.759886406,0.104987143,0.014678219,30.65978651,1.255135135,17.03903394,123.0941385,1,1,1,0,0,0.740644038,0,1,0.312445605
SE-SW-D3-1986-6-13-T1,SGRET1038-1,Pulau Semakau,SE-SW,13,6,1986,13/06/1986,1.202777778,103.7544444,Slope,Fringing,3,1,REST,0.611,11,0.575814112,1342.818654,163.745773,11,11,1.501371059,0.049096653,0.58134888,0.897317508,0.110638779,0.017412621,46.34761905,0.973178808,9.293166939,292.7871816,1,1,0,0,0,0.333878887,0,0,0.949263502
SE-SW-D3-1986-6-13-T2,SGRET1038-2,Pulau Semakau,SE-SW,13,6,1986,13/06/1986,1.202777778,103.7544444,Slope,Fringing,3,2,REST,0.662,15,0.905342686,1284.688094,144.8404111,15,15,2.210998374,0.049096653,0.771792135,0.768132653,0.099081046,0.014941516,22.87534722,1.395258264,12.66442598,207.7091478,1,1,1,0,0,0.731873112,1,0,0.566465257
SE-SW-D3-1986-6-13-T3,SGRET1038-3,Pulau Semakau,SE-SW,13,6,1986,13/06/1986,1.202777778,103.7544444,Slope,Fringing,3,3,REST,0.5385,14,0.820407111,1253.925616,125.8558329,14,14,0.906686219,0.049096653,0.704519309,0.845481034,0.06701983,0.006213839,23.18682857,1.508015007,11.96098731,158.9498581,1,1,1,0,0,0.532033426,1,0,0.648096565
SE-SW-D3-1986-6-13-T4,SGRET1038-4,Pulau Semakau,SE-SW,13,6,1986,13/06/1986,1.202777778,103.7544444,Slope,Fringing,3,4,REST,0.6605,13,0.856254953,1296.072824,165.7116092,13,13,0.862682708,0.049096653,0.688108324,0.905709171,0.119109466,0.014774834,18.97205882,1.236570546,11.47819833,251.9000757,1,1,0,0,0,0.587433762,1,0,0.435276306
SE-SW-D3-1986-6-13-T5,SGRET1038-5,Pulau Semakau,SE-SW,13,6,1986,13/06/1986,1.202777778,103.7544444,Slope,Fringing,3,5,REST,0.514,10,0.848725946,1211.223172,207.6241963,10,10,0.687790442,0.049096653,0.669128811,0.818277563,0.082694035,0.007266358,21.32845395,1.424439746,10.78302529,127.3234624,1,1,1,0,0.145914397,0.593385214,1,0,0.387159533
LZ-W-D3-1990-4-10-T1,SGRET2002-1,Lazarus Island,LZ-W,10,4,1990,10/04/1990,1.224166667,103.8508333,Slope,Fringing,3,1,REST,0.059,4,0.59408216,834.061623,141.9387044,4,4,0.130457393,0.049096653,0.510633305,0.811328488,0.047580219,0.003344201,31.7,1.395777778,6.859322034,202.2222222,1,1,0,0,0,0.915254237,1,0,0.237288136
LZ-W-D3-1990-4-10-T2,SGRET2002-2,Lazarus Island,LZ-W,10,4,1990,10/04/1990,1.224166667,103.8508333,Slope,Fringing,3,2,REST,0.356,13,0.815048605,1406.424122,183.1291674,13,13,0.901113076,0.049096653,0.679946696,0.745261135,0.09517277,0.010129178,24.6360515,1.370194706,11.51601124,150.4073034,1,1,1,0,0,0.58988764,1,0,0.084269663
LZ-W-D3-1990-4-10-T3,SGRET2002-3,Lazarus Island,LZ-W,10,4,1990,10/04/1990,1.224166667,103.8508333,Slope,Fringing,3,3,REST,0.2345,11,0.649878842,1282.603925,175.116427,11,11,1.61303139,0.049096653,0.666768017,0.348868773,0.065802009,0.009758239,30.0421875,1.384780702,13.99104478,210.0234542,1,1,0,0,0,0.735607676,1,0,0.328358209
LZ-W-D3-1990-4-10-T4,SGRET2002-4,Lazarus Island,LZ-W,10,4,1990,10/04/1990,1.224166667,103.8508333,Slope,Fringing,3,4,REST,0.128,4,0.470855713,944.9409273,108.9039389,4,4,0.83779007,0.049096653,0.59986123,0.64753325,0.12557051,0.023627063,30.01155779,1.344047619,4.051171875,186.796875,1,1,0,0,0,0.77734375,1,0,0.15625
LZ-W-D3-1990-4-10-T5,SGRET2002-5,Lazarus Island,LZ-W,10,4,1990,10/04/1990,1.224166667,103.8508333,Slope,Fringing,3,5,REST,0.1685,6,0.426894663,1124.666498,131.4789408,6,6,0.459523752,0.049096653,0.734267142,0.497853786,0.067877761,0.010571488,28.638875,1.3993,22.09985163,174.1246291,1,1,0,0,0,0.747774481,1,0,0.136498516
LZ-E-D3-1990-4-12-T1,SGRET2006-1,Lazarus Island,LZ-E,12,4,1990,12/04/1990,1.221944444,103.8591667,Slope,Fringing,3,1,REST,0,0,0,0,0,0,0,0,0.049096653,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LZ-E-D3-1990-4-12-T2,SGRET2006-2,Lazarus Island,LZ-E,12,4,1990,12/04/1990,1.221944444,103.8591667,Slope,Fringing,3,2,REST,0.014,2,0.336734694,374.2152886,7.612125306,2,2,0,0.049096653,0,0,0.03121346,0.001446658,NA,1.086428571,15.84285714,52.85714286,1,1,1,0,0,0,0,1,0
LZ-E-D3-1990-4-12-T3,SGRET2006-3,Lazarus Island,LZ-E,12,4,1990,12/04/1990,1.221944444,103.8591667,Slope,Fringing,3,3,REST,0.005,1,0,351.6095832,0,1,1,0,0.049096653,0,0,0,0,NA,1.33,32.5,100,1,1,1,0,0,0,1,0,0
LZ-E-D3-1990-4-12-T4,SGRET2006-4,Lazarus Island,LZ-E,12,4,1990,12/04/1990,1.221944444,103.8591667,Slope,Fringing,3,4,REST,0.0125,2,0.4992,357.3938963,2.887529104,2,2,0,0.049096653,0,0,0.017205177,0.000296493,NA,1.2916,30.7,100,1,1,1,0,0,0.48,1,0,0.48
LZ-E-D3-1990-4-12-T5,SGRET2006-5,Lazarus Island,LZ-E,12,4,1990,12/04/1990,1.221944444,103.8591667,Slope,Fringing,3,5,REST,0,0,0,0,0,0,0,0,0.049096653,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RL-E-D3-1991-10-22-T1,SGRET2010-1,Raffles Lighthouse,RL-E,22,10,1991,22/10/1991,1.160555556,103.7415278,Slope,Fringing,3,1,REST,0.495,16,0.856535047,1408.740384,193.4372468,16,16,1.088259778,0.049096653,0.672945937,0.748258397,0.122633923,0.019953754,42.00257514,1.183329412,5.191868687,209.4728261,1,1,1,0,0.087878788,0.93030303,1,0,0.960606061
RL-E-D3-1991-10-22-T2,SGRET2010-2,Raffles Lighthouse,RL-E,22,10,1991,22/10/1991,1.160555556,103.7415278,Slope,Fringing,3,2,REST,0.3135,15,0.878169761,1344.957068,209.4594684,15,15,1.810648021,0.049096653,0.750648215,0.90717058,0.149248875,0.025084025,46.07791003,1.207525773,6.143221691,181.3903743,1,1,1,0,0.068580542,0.70015949,1,0,0.779904306
RL-E-D3-1991-10-22-T3,SGRET2010-3,Raffles Lighthouse,RL-E,22,10,1991,22/10/1991,1.160555556,103.7415278,Slope,Fringing,3,3,REST,0.273,10,0.720310215,1108.609937,184.8158798,10,10,0.797413255,0.049096653,0.683920876,0.904903756,0.127000296,0.016873626,63.02031662,1.188493151,4.064285714,204.8210923,1,1,1,1,0.17032967,0.725274725,1,0,1.183150183
RL-E-D3-1991-10-22-T4,SGRET2010-4,Raffles Lighthouse,RL-E,22,10,1991,22/10/1991,1.160555556,103.7415278,Slope,Fringing,3,4,REST,0.3995,15,0.873172191,1418.317459,214.1526977,15,15,1.837491495,0.049096653,0.781102555,0.889116235,0.155970141,0.025685498,47.86188527,1.212899571,5.406883605,159.4293478,1,1,1,0,0.130162703,0.734668335,1,0,0.928660826
RL-E-D3-1991-10-22-T5,SGRET2010-5,Raffles Lighthouse,RL-E,22,10,1991,22/10/1991,1.160555556,103.7415278,Slope,Fringing,3,5,REST,0.318,9,0.841941577,936.0994223,192.2580645,9,9,1.141245047,0.049096653,0.704118856,0.808546391,0.125486142,0.017687944,39.5787234,1.222709163,9.763600629,220.8728653,1,1,1,0,0,0.649371069,1,0,0.463836478
RL-W-D3-1991-11-13-T1,SGRET2014-1,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,3,1,REST,0.1795,11,0.82008985,1378.831903,203.2857659,11,11,2.13208926,0.049096653,0.65922775,0.755887648,0.148217695,0.02970246,18.03132075,1.285224913,6.128133705,232.0754717,1,1,0,0,0,0.551532033,1,0,1.317548747
RL-W-D3-1991-11-13-T2,SGRET2014-2,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,3,2,REST,0.379,9,0.656793673,1202.599808,117.1444641,9,9,1.804656389,0.049096653,0.759792651,0.906452085,0.178361801,0.035295508,24.64830383,1.137034538,2.797889182,273.5928144,1,0,1,1,0,0.306068602,1,0,0.961741425
RL-W-D3-1991-11-13-T3,SGRET2014-3,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,3,3,REST,0.5755,15,0.596575637,1580.089064,148.9547457,15,15,2.677204524,0.049096653,0.69678198,0.752189023,0.106787074,0.016832396,18.23311031,1.442606557,6.20004344,368.2013048,1,1,0,0,0.017376195,0.173761946,1,0,0.391833189
RL-W-D3-1991-11-13-T4,SGRET2014-4,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,3,4,REST,0.4145,19,0.89299969,1728.905117,222.3231442,19,19,1.872976618,0.049096653,0.761261512,0.896960985,0.13272745,0.022064357,19.18129343,1.333888889,4.987997587,288.7870968,1,1,0,0,0.024125452,0.557297949,1,0,1.036188179
