Code,ID,Replicate,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Surveyors,Location,Abun,TRic,TDiv,PRic,PDiv,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.grow,CWM.skel,CWM.corwidth,CWM.cmd,CWM.col,CWM.repmode,CWM.sex,CWM.symb,CWM.branching,CWM.encrusting,CWM.laminar,CWM.massive,CWM.submassive
CY-N-D3-1993-7-9-T1,SGRET2057-1,1,CY-N,9,7,1993,9/07/1993,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.028,4,0.679209184,745.1853545,176.4056246,4,4,0.113843637,0.221688265,0.775697481,0.820167934,0.108078516,0.013181219,14.77366402,1.173130081,8.534749681,149.9878049,1,1,0.571428571,0,0,0.676147959,0.556122449,0.111447704,0.435778061
CY-N-D3-1993-7-9-T2,SGRET2057-2,2,CY-N,9,7,1993,9/07/1993,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.1775,9,0.673818687,957.4798986,47.82759177,9,9,0.163193051,0.221688265,0.723150794,0.810446078,0.061711676,0.007083213,11.99758257,1.191031353,28.90497829,89.17042254,1,1,0.923943662,0,0.030985915,0.589295775,0.595774648,0.272852113,0.353169014
CY-N-D3-1993-7-9-T3,SGRET2057-3,3,CY-N,9,7,1993,9/07/1993,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.0865,6,0.591399646,578.6763834,40.95442645,6,6,0.184616744,0.221688265,0.648493291,0.838296741,0.117027029,0.023006375,13.09415506,1.298902196,34.0749422,80.7776975,0.876300578,1,0.820809249,0,0,0.425818882,0.721387283,0.245086705,0.406936416
CY-N-D3-1993-7-9-T4,SGRET2057-4,4,CY-N,9,7,1993,9/07/1993,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.0255,2,0.430603614,411.6702279,25.86233069,2,2,0,0.221688265,0,0,0.138329054,0.022218726,8.8,1.182810458,18.68014706,274.5098039,1,1,0.68627451,0,0,0.411764706,0.68627451,0.31372549,0.274509804
CY-N-D3-1993-7-9-T5,SGRET2057-5,5,CY-N,9,7,1993,9/07/1993,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.028,4,0.556760204,515.6833916,40.64325657,4,4,0.055969958,0.221688265,0.696375223,0.708395813,0.139175267,0.030071363,23.71614801,1.37203869,35.28398437,91.51934524,0.821428571,1,0.821428571,0,0.3125,0.554761905,0.227678571,0.452008929,0.356696429
CY-S-D3-1986-5-2-T1,SGRET1006-1,1,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.535,14,0.89179841,1306.017694,91.28900983,14,14,0.194922969,0.221688265,0.663932487,0.777117948,0.080373625,0.00930689,12.08946102,1.241204678,10.23174225,132.5335392,0.995327103,1,0.860747664,0,0.010825545,0.585514019,0.308878505,0.402959502,0.452842679
CY-S-D3-1986-5-2-T2,SGRET1006-2,2,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.5795,14,0.909958527,1441.665858,191.939884,14,14,0.33175742,0.221688265,0.842388872,0.829818713,0.160333073,0.031335877,19.12507576,1.319951219,18.64182958,220.156693,0.926660915,0.959016393,0.674780527,0,0.051459039,0.442271742,0.4142165,0.385451926,0.390234729
CY-S-D3-1986-5-2-T3,SGRET1006-3,3,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.3255,15,0.903074792,1473.628027,132.7975148,15,15,0.333967251,0.221688265,0.774633366,0.868752159,0.118540189,0.021304056,18.20167844,1.252916063,15.42103718,164.2534562,0.961597542,0.964157706,0.827476038,0,0.116979794,0.596469787,0.376293445,0.418053797,0.326589974
CY-S-D3-1986-5-2-T4,SGRET1006-4,4,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.546,16,0.880112104,1465.807087,132.7559375,16,16,0.308799341,0.221688265,0.766565503,0.89028866,0.115649066,0.017771185,17.53883438,1.279686009,10.84347334,173.4126456,1,0.980806142,0.809215738,0,0.036277825,0.556883394,0.471347563,0.374325514,0.402594041
CY-S-D3-1986-5-2-T5,SGRET1006-5,5,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.417,13,0.880279949,1337.314979,124.5043371,13,13,0.304209331,0.221688265,0.702646652,0.855611745,0.11890953,0.017815606,19.20972999,1.301122588,7.701207303,142.8381053,1,0.989035088,0.839842412,0,0.011206419,0.539611388,0.52587161,0.388304741,0.433498586
CY-S-D3-1991-11-21-T1,SGRET2022-1,1,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.1205,10,0.770785627,1092.089455,188.1205686,10,10,0.297836674,0.221688265,0.725585464,0.854724977,0.140476077,0.022267919,25.13117042,1.354566044,14.10000864,329.4490466,0.979253112,0.995850622,0.556016598,0,0.012448133,0.519052559,0.854771784,0.103215768,0.34868603
CY-S-D3-1991-11-21-T2,SGRET2022-2,2,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.045,4,0.673580247,863.7034953,106.1916666,4,4,0.197052696,0.221688265,0.861842727,0.735647639,0.21486754,0.051788235,13.78347976,1.481407407,65.14824074,75.02407407,0.688888889,0.977777778,0.644444444,0,0,0.442962963,0.6,0.4,0.177777778
CY-S-D3-1991-11-21-T3,SGRET2022-3,3,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.0975,7,0.825772518,521.0929512,33.67543193,7,7,0.044033299,0.221688265,0.8401634,0.843839952,0.101966214,0.014008184,7.331291739,1.17542094,10.98174893,224.9291819,1,1,0.758974359,0,0,0.450299145,0.158974359,0.692371795,0.26982906
CY-S-D3-1991-11-21-T4,SGRET2022-4,4,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.0745,5,0.718796451,752.6541274,176.2807324,5,5,0.084753314,0.221688265,0.778883017,0.706875752,0.113324641,0.01306914,18.14893617,1.415677083,6.13954698,102.6041667,1,1,0.570469799,0,0,0.712751678,0.498881432,0.029530201,0.758836689
CY-S-D3-1991-11-21-T5,SGRET2022-5,5,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.1275,9,0.798246828,848.1864585,91.18247502,9,9,0.159072221,0.221688265,0.754907678,0.838767363,0.092545093,0.014870609,12.81733259,1.197224441,11.41942553,134.4637874,1,0.959477124,0.895798319,0,0.042171946,0.660198592,0.456229261,0.288646305,0.491370035
CY-S-D3-1993-6-8-T1,SGRET2061-1,1,CY-S,8,6,1993,8/06/1993,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.2345,10,0.722646287,1199.236282,103.3098123,10,10,0.222394254,0.221688265,0.726252134,0.877579224,0.091654479,0.015316445,19.90743267,1.240498272,21.21568497,139.5217281,0.957356077,1,0.825159915,0,0.059701493,0.60826226,0.681236674,0.188432836,0.311158493
CY-S-D3-1993-6-8-T2,SGRET2061-2,2,CY-S,8,6,1993,8/06/1993,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.202,13,0.573154593,1430.783221,91.88368981,13,13,0.311753736,0.221688265,0.75080483,0.774044897,0.075858357,0.011488447,15.99601774,1.167892137,17.4829741,109.1367416,1,0.982673267,0.871287129,0,0.030083778,0.585216516,0.735495322,0.19009459,0.337188554
CY-S-D3-1993-6-8-T3,SGRET2061-3,3,CY-S,8,6,1993,8/06/1993,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.1885,13,0.793771855,1364.338325,73.4120782,13,13,0.412117547,0.221688265,0.716718202,0.791951967,0.113947174,0.021389196,20.42800713,1.372112946,21.76670065,184.6865606,0.936339523,0.991803279,0.852216749,0,0.058028974,0.584330457,0.599160521,0.218140613,0.318691521
CY-S-D3-1993-6-8-T4,SGRET2061-4,4,CY-S,8,6,1993,8/06/1993,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.227,14,0.83298725,1472.370016,136.6082678,14,14,0.353547244,0.221688265,0.690092071,0.814556407,0.152997048,0.032998167,16.23091759,1.325732258,30.94636198,161.3888976,0.881057269,0.982011747,0.717117684,0,0.035327008,0.48660684,0.530504187,0.373355582,0.351089824
CY-S-D3-1993-6-8-T5,SGRET2061-5,5,CY-S,8,6,1993,8/06/1993,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.123,14,0.896424086,1177.17786,70.71624385,14,14,0.394890668,0.221688265,0.818732362,0.819879458,0.133474851,0.023464708,14.17980504,1.304299548,39.51117469,108.1785472,0.944715447,0.993993994,0.693379791,0,0.059443402,0.557264957,0.403580363,0.447170106,0.294090056
CY-S-D3-1999-4-21-T1,SGTMS0046-1,1,CY-S,21,4,1999,21/04/1999,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.2585,10,0.670375511,1154.380299,99.81919958,10,10,0.21401356,0.221688265,0.628449202,0.901711362,0.099443919,0.015769821,19.35395173,1.188776817,15.67612381,138.488717,1,0.971631206,0.832274109,0,0.041883648,0.508818132,0.710422556,0.236227868,0.414134801
CY-S-D3-1999-4-21-T2,SGTMS0046-2,2,CY-S,21,4,1999,21/04/1999,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.1655,11,0.83263205,1089.819833,74.0064146,11,11,0.29778806,0.221688265,0.562120833,0.633109557,0.097191981,0.016998502,16.38103046,1.401527946,18.18338683,140.7577147,0.954682779,0.987915408,0.897280967,0,0.012084592,0.597205438,0.483383686,0.374055891,0.381268882
CY-S-D3-1999-4-21-T3,SGTMS0046-3,3,CY-S,21,4,1999,21/04/1999,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.0835,6,0.793717953,882.8296796,96.30205524,6,6,0.284901138,0.221688265,0.735532586,0.750102491,0.146530551,0.025815317,12.79739011,1.408041417,22.19836577,114.136085,0.916167665,1,0.580838323,0,0.005489022,0.644760479,0.604790419,0.264720559,0.369061876
CY-S-D3-1999-4-21-T4,SGTMS0046-4,4,CY-S,21,4,1999,21/04/1999,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.1215,9,0.840319057,1167.952467,131.6964953,9,9,0.335603446,0.221688265,0.705289092,0.585720052,0.120616247,0.021133172,24.35151433,1.409238624,13.7862562,218.1363169,0.962962963,0.983539095,0.780717225,0,0.095758151,0.450253245,0.715811966,0.178339664,0.456022475
CY-S-D3-1999-4-21-T5,SGTMS0046-5,5,CY-S,21,4,1999,21/04/1999,1.257222222,103.7533333,Slope,Patch,3,REST,Cyrene Reef,0.1775,11,0.837579845,1300.411452,121.2875969,11,11,0.22703784,0.221688265,0.803299171,0.795270728,0.103354186,0.012921262,18.52642242,1.405142468,5.882983929,212.2197183,0.963380282,0.994366197,0.829353018,0,0.041928494,0.508396533,0.694637053,0.245720477,0.351462622
HA-NE-D3-1986-4-18-T1,SGRET1010-1,1,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.3355,13,0.845400574,1522.819512,215.5946178,13,13,0.451520686,0.221688265,0.64957898,0.708555876,0.160247813,0.032553141,21.41524223,1.38066389,20.90913366,212.2445219,0.973174367,0.956631367,0.501654135,0,0.046199702,0.648143796,0.427662501,0.509730024,0.459088998
HA-NE-D3-1986-4-18-T2,SGRET1010-2,2,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.1075,4,0.677122769,843.0741368,189.2132909,4,4,0.049995583,0.221688265,0.704532237,0.774620784,0.1205689,0.016813,19.53023256,1.266511628,2.938604651,278.1395349,1,1,0.790697674,0,0.009302326,0.318604651,0.733333333,0.248062016,0.452713178
HA-NE-D3-1986-4-18-T3,SGRET1010-3,3,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.1365,8,0.837445826,1047.243689,201.7602001,8,8,0.223780255,0.221688265,0.856060562,0.863971969,0.157680243,0.027843583,20.07857936,1.509334061,18.48240995,321.1609759,0.93040293,1,0.472527473,0,0,0.575030525,0.721611722,0.161172161,0.411141636
HA-NE-D3-1986-4-18-T4,SGRET1010-4,4,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.2665,11,0.836892664,1123.192298,194.2237235,11,11,0.39726769,0.221688265,0.671046408,0.820343456,0.157912415,0.035207624,22.42267332,1.484480174,16.6364191,246.2980589,0.92120075,1,0.725338491,0,0.026194256,0.44313393,0.691369606,0.225447395,0.733838457
HA-NE-D3-1986-4-18-T5,SGRET1010-5,5,HA-NE,18,4,1986,18/04/1986,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.537,14,0.856433944,1449.487898,195.6775223,14,14,0.43437476,0.221688265,0.633650793,0.691226397,0.152217719,0.027564323,16.56959105,1.507402043,14.39212574,287.5043063,0.948789572,0.976334575,0.528760019,0,0.038160722,0.515934919,0.455908896,0.43329215,0.590210333
HA-NE-D3-1992-1-28-T1,SGRET2026-1,1,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.2155,10,0.82864541,1211.334271,111.4330839,10,10,0.233914063,0.221688265,0.722109993,0.849988584,0.151465854,0.024094001,20.7686992,1.344516474,7.517553915,406.0955143,1,0.988399072,0.566456745,0,0.074620739,0.381965019,0.452355881,0.385039265,0.239844726
HA-NE-D3-1992-1-28-T2,SGRET2026-2,2,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.007,1,0,351.6095832,0,1,1,0,0.221688265,0,0,0,0,NA,1.156666667,23.5625,80,1,1,1,0,0,0.6,1,0,0.4
HA-NE-D3-1992-1-28-T3,SGRET2026-3,3,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.0025,1,0,351.6095832,0,1,1,0,0.221688265,0,0,0,0,NA,1.156666667,23.5625,80,1,1,1,0,0,0.6,1,0,0.4
HA-NE-D3-1992-1-28-T4,SGRET2026-4,4,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0,0,0,0,0,0,0,0,0.221688265,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA-NE-D3-1992-1-28-T5,SGRET2026-5,5,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.049,4,0.583298626,418.4859301,13.27520885,4,4,0.006831306,0.221688265,0.621572879,0.906279903,0.062968082,0.004407997,19.78799739,1.421945578,10.12631803,174.0340136,1,1,1,0,0,0.214285714,0.836734694,0.137755102,0.724489796
HA-NE-D3-1993-7-12-T1,SGRET2065-1,1,HA-NE,12,7,1993,12/07/1993,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.271,13,0.887610463,1490.478156,202.91012,13,13,0.29985391,0.221688265,0.8061624,0.801418359,0.145514022,0.024604167,23.68654567,1.307868338,6.968067184,214.0644157,1,0.969643296,0.685556141,0,0.096491626,0.478581972,0.591029764,0.226916994,0.494487247
HA-NE-D3-1993-7-12-T2,SGRET2065-2,2,HA-NE,12,7,1993,12/07/1993,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.3825,15,0.895057457,1356.354348,163.3429283,15,15,0.358026867,0.221688265,0.61483373,0.88107322,0.116420958,0.019190338,24.13549959,1.256496435,7.658734498,204.7703601,1,0.976349844,0.796825397,0,0.064655606,0.775343556,0.520990447,0.1644545,0.408894754
HA-NE-D3-1993-7-12-T3,SGRET2065-3,3,HA-NE,12,7,1993,12/07/1993,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.0315,5,0.704963467,874.5435908,115.6825677,5,5,0.136954252,0.221688265,0.745121906,0.66624742,0.064925491,0.008741815,10.67950773,1.08689418,8.537597934,87.61558812,1,1,0.888888889,0,0.007326007,0.423789174,0.031746032,0.828983516,0.342236467
HA-NE-D3-1993-7-12-T4,SGRET2065-4,4,HA-NE,12,7,1993,12/07/1993,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.011,3,0.599173554,395.9091835,13.9428681,3,3,0.002379353,0.221688265,0.853826563,0.544385248,0.044715535,0.002070829,7.180052438,1.232367424,14.06122159,105.4967532,1,1,1,0,0,0.689772727,0.363636364,0.440340909,0.4125
HA-NE-D3-1993-7-12-T5,SGRET2065-5,5,HA-NE,12,7,1993,12/07/1993,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.102,9,0.847798923,1185.171235,120.2897552,9,9,0.41971697,0.221688265,0.820672349,0.717557047,0.156007489,0.035329192,19.70505678,1.455374729,33.54866846,146.1792328,0.848039216,0.986928105,0.726190476,0,0.031108597,0.639008296,0.552507541,0.322586727,0.247960659
HA-NE-D3-1997-6-16-T1,SGTMS0002-1,1,HA-NE,16,6,1997,16/06/1997,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.181,10,0.836100852,1034.846578,65.9478292,10,10,0.237177028,0.221688265,0.604487343,0.762295001,0.089944405,0.014064983,18.77399491,1.443464533,12.71495626,178.9259405,0.951381215,1,0.886740331,0,0.075966851,0.603982505,0.473618785,0.266160221,0.441298343
HA-NE-D3-1997-6-16-T2,SGTMS0002-2,2,HA-NE,16,6,1997,16/06/1997,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.1595,9,0.811627244,1152.450375,155.2922363,9,9,0.357020375,0.221688265,0.728719071,0.7280317,0.152417537,0.031255096,13.4654898,1.300352764,18.00319478,159.5965629,0.929467085,0.940438871,0.724154135,0,0.048758138,0.536026043,0.480371353,0.40538341,0.320557029
HA-NE-D3-1997-6-16-T3,SGTMS0002-3,3,HA-NE,16,6,1997,16/06/1997,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.088,7,0.786931818,1019.701514,156.2141126,7,7,0.069672696,0.221688265,0.801763563,0.720644013,0.118273984,0.015540265,21.54939933,1.386820549,6.493115869,284.6130952,1,1,0.710227273,0,0.028409091,0.453469968,0.706574675,0.195718344,0.486769481
HA-NE-D3-1997-6-16-T4,SGTMS0002-4,4,HA-NE,16,6,1997,16/06/1997,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.0585,8,0.815545328,1261.734894,194.1806786,8,8,0.321304213,0.221688265,0.781018433,0.742835422,0.180528111,0.038260934,19.53810684,1.343554101,19.19396504,156.2232906,0.923076923,0.923076923,0.597069597,0,0.053254438,0.683804515,0.498356345,0.38921762,0.267192636
HA-NE-D3-1997-6-16-T5,SGTMS0002-5,5,HA-NE,16,6,1997,16/06/1997,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.1325,14,0.900420078,1362.638464,197.6136259,14,14,0.203063407,0.221688265,0.840277175,0.874270778,0.153468484,0.026281529,14.22579452,1.242051587,8.282272738,204.6483378,0.993207547,0.955974843,0.596226415,0,0.030478955,0.521620706,0.42906628,0.40904209,0.473567973
HA-NE-D3-1998-1-21-T1,SGTMS0050-1,1,HA-NE,21,1,1998,21/01/1998,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.277,14,0.851516376,1373.408081,70.49317035,14,14,0.331043995,0.221688265,0.672835002,0.720197637,0.101422118,0.017250826,17.15663908,1.397615226,19.54046832,158.9482435,0.938628159,1,0.893501805,0,0.004707026,0.441388635,0.62591542,0.267172809,0.40346134
HA-NE-D3-1998-1-21-T2,SGTMS0050-2,2,HA-NE,21,1,1998,21/01/1998,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.157,9,0.858574384,1209.05435,158.5589416,9,9,0.323895448,0.221688265,0.776669883,0.738467748,0.147701104,0.029120517,19.13692113,1.359519639,23.23051866,222.4438694,0.914012739,1,0.697452229,0,0.006900212,0.498619958,0.641719745,0.28270966,0.33235138
HA-NE-D3-1998-1-21-T3,SGTMS0050-3,3,HA-NE,21,1,1998,21/01/1998,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.0815,5,0.726485754,438.5714908,18.61980014,5,5,0.008940295,0.221688265,0.793050784,0.626630214,0.064314494,0.005199309,17.84838035,1.280986708,14.05846881,154.121823,1,1,1,0,0.035582822,0.52607362,0.634355828,0.233895706,0.424846626
HA-NE-D3-1998-1-21-T4,SGTMS0050-4,4,HA-NE,21,1,1998,21/01/1998,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.101,8,0.797323792,977.423126,73.3971713,8,8,0.21948129,0.221688265,0.796978795,0.79135455,0.150429411,0.027401216,12.49924477,1.274935231,36.28061056,116.487388,0.861386139,1,0.485148515,0,0,0.173968647,0.262376238,0.698019802,0.248019802
HA-NE-D3-1998-1-21-T5,SGTMS0050-5,5,HA-NE,21,1,1998,21/01/1998,1.226666667,103.7530556,Slope,Fringing,3,REST,Pulau Hantu,0.027,2,0.417009602,703.2191663,146.6245724,2,2,0,0.221688265,0,0,0.106394143,0.013572486,31.7,1.21691358,17.61805556,234.0740741,1,1,0.703703704,0,0,0.57037037,1,0,0.281481481
HA-W-D3-1986-5-9-T1,SGRET1014-1,1,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,REST,Pulau Hantu,0.462,12,0.849977043,1445.704793,203.1711606,12,12,0.436056643,0.221688265,0.753161606,0.736498143,0.149729544,0.026447508,21.96496308,1.462388605,12.40495928,347.7290591,0.972943723,0.996392496,0.531849103,0,0.022269397,0.419184982,0.820700133,0.148393273,0.64022089
HA-W-D3-1986-5-9-T2,SGRET1014-2,2,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,REST,Pulau Hantu,0.67,12,0.849270439,1416.423494,211.2716856,12,12,0.402224501,0.221688265,0.489783795,0.856901307,0.177898068,0.03312982,17.23067739,1.315994361,11.14077712,251.7894046,1,0.912935323,0.593283582,0,0.065442021,0.446101225,0.524397245,0.421857061,0.560505166
HA-W-D3-1986-5-9-T3,SGRET1014-3,3,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,REST,Pulau Hantu,0.39,15,0.875417488,1384.786785,152.6981263,15,15,0.345018567,0.221688265,0.716138469,0.693932099,0.139294639,0.024527739,14.21074077,1.436531301,23.44986391,186.7876603,0.929487179,0.982905983,0.596024845,0,0.021449704,0.614899737,0.36545858,0.560850592,0.318476331
HA-W-D3-1986-5-9-T4,SGRET1014-4,4,HA-W,9,5,1986,9/05/1986,1.226388889,103.7466667,Slope,Fringing,3,REST,Pulau Hantu,0.2125,14,0.885458824,1337.858102,188.8001932,14,14,0.555173207,0.221688265,0.796212623,0.788075841,0.200204706,0.046986981,17.51015226,1.364920324,35.25005814,127.8731523,0.832941176,0.939711934,0.651656315,0,0.037647059,0.317822021,0.391945701,0.54080543,0.396809955
