"","Year","AbunMean","AbunSD","TRic_Mean","TRic_SD","TDiv_Mean","TDiv_SD","PRic_Mean","PRic_SD","PDiv_Mean","PDiv_SD","FRic_Mean","FRic_SD","FDiv_Mean","FDiv_SD"
"23",2008,0.182540282729365,0.293152213581396,10.6324218205008,11.6885840280714,0.767922796227155,0.795718852893409,1206.16428961305,1261.35209141136,146.532996760851,157.180969551755,0.244358309141616,0.288242989779708,0.02069532673444,0.0226665570467289
"24",2009,0.177545943875434,0.292873382654611,10.4500775249279,11.685116915072,0.772372872883513,0.794556624378204,1204.49919911088,1260.9721805791,147.568362356562,157.112369957409,0.246697274563533,0.288107047405877,0.0206419379577675,0.0226627096530967
"25",2010,0.175489865966043,0.292854051953712,10.4168026232209,11.6769881727249,0.776673108160719,0.793581927931692,1206.61612720692,1260.77757839392,148.635659735713,157.089333918379,0.24962348119894,0.288112934748494,0.0205823338007288,0.0226635551188317
"26",2011,0.179255338291644,0.293046628268739,10.5735234322761,11.6802844001971,0.781187180803165,0.793126644966036,1214.28984105095,1260.95771084156,149.884543971428,157.110191005337,0.252981238210361,0.288351563745768,0.0205162760479854,0.0226669072289175
"27",2012,0.189656117217755,0.293173480506775,10.8415804309537,11.6966923501372,0.785937770685395,0.793077210489499,1225.43131318033,1261.45758093919,151.35445022706,157.104489268443,0.256039116504794,0.288663713640943,0.0204415009595844,0.0226689604810347
"28",2013,0.205622296695509,0.292844472799881,11.1189183412197,11.6998910848123,0.790763576624279,0.793132533453329,1236.90925226577,1261.3479721561,152.968261824085,157.009499680477,0.258109530415432,0.288639238215252,0.0203539296074587,0.0226666265897803
"29",2014,0.225039465894382,0.292227240092493,11.3619762857443,11.6843878865091,0.795522835935319,0.793238711508739,1247.12026364816,1260.523359284,154.574644328624,156.865136425239,0.259025684383779,0.288258847490661,0.0202489769558994,0.0226612058242838
"30",2015,0.245615284169556,0.291632581600353,11.5428657913905,11.6599244584655,0.800086991247974,0.793374491299393,1254.88982259008,1259.40455812078,156.008907029683,156.722059706826,0.258749415737504,0.28770517295197,0.0201220177883415,0.0226540737771545
"31",2016,0.265282576764691,0.291198651217706,11.653428319997,11.6389735182695,0.804379467809807,0.793418099209472,1259.67988080626,1258.45262111681,157.12327581368,156.596274984104,0.257374204838627,0.287197151504044,0.0199693079853519,0.0226461740972878
"32",2017,0.28306806725656,0.29101751060809,11.7678491202003,11.6306280981643,0.808548393966527,0.793337916224922,1263.6426976341,1258.01719634757,157.855389708729,156.517613340692,0.255541766022252,0.286975558052831,0.0197914020515182,0.0226427007076614
"33",2018,0.299088872146494,0.291196754478436,11.9818830448586,11.6307390383952,0.81283834650427,0.793338455784023,1269.81089355163,1257.96897332858,158.243170921199,156.565242356578,0.254032198376613,0.287138114589854,0.0195932625443382,0.022653825795646
"34",2019,0.314016359659226,0.292277938698458,12.3309975389695,11.6541859403221,0.817380763232713,0.793988295629783,1279.53676613647,1259.09532771,158.395343904534,156.887976950336,0.253216802648421,0.288002226270466,0.0193823258445098,0.0226917639644265
"35",2020,0.328521516621468,0.2948721473056,12.7677063384485,11.731576167444,0.822107576673566,0.795824917723708,1291.68183317105,1262.86392167588,158.440755725699,157.58782720481,0.25289705272893,0.289977812048102,0.0191659179116572,0.0227629900064845
