"","spp","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"13","Acropora granulosa",7.16,3,1.81471760888575,NA,NA,NA,NA,NA,NA,0.65,2,100,4,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","NT"
"14","Acropora hemprichii",9.14111111111111,9,4.67524449746867,NA,NA,NA,NA,NA,NA,1,2,200,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","VU"
"15","Acropora humilis",20.2166666666667,6,5.5108680501956,1.44538461538462,13,0.222696182597704,NA,NA,NA,1.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,"competitive","NT"
"16","Acropora hyacinthus",80.6333333333333,3,32.7471118319362,1.28,1,NA,NA,NA,NA,0.75,2,300,3,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","NT"
"17","Acropora lamarcki",32.4,1,NA,1.41,1,NA,1.83,1,NA,NA,NA,200,2,"colonial","spawner","hermaphrodite","no",1,0,1,0,0,NA,"DD"
"18","Acropora muricata",89.4705882352941,17,39.0075301176882,1.7125,4,0.635209939049025,1.71,1,NA,1,2,1000,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"19","Acropora nasuta",41.9,5,14.8786760163665,1.4,1,NA,2.96,1,NA,0.8,2,80,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"NT"
"20","Acropora palmata",71.0357142857143,28,16.7444233787167,1.89,1,NA,NA,NA,NA,1.15,2,400,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","CR"
"21","Acropora pharaonis",14.44,5,9.27917022152304,NA,NA,NA,NA,NA,NA,1.05,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,1,0,0,NA,"VU"
"22","Acropora prolifera",59.3333333333333,3,22.4002976170705,NA,NA,NA,NA,NA,NA,1.05,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,NA
"23","Acropora pulchra",130.9,4,81.0499023236097,1.9,1,NA,NA,NA,NA,0.9,2,500,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"24","Acropora robusta",22.4,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"25","Acropora solitaryensis",16.7,1,NA,1.45,1,NA,NA,NA,NA,0.8,2,300,5,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","VU"
"26","Acropora speciosa",40.3,1,NA,NA,NA,NA,NA,NA,NA,0.55,2,50,2,"colonial",NA,NA,NA,2,0,0,0,0,NA,"VU"
"27","Acropora spicifera",111,3,10.9233694435371,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"VU"
"28","Acropora tumida",8.3,1,NA,NA,NA,NA,NA,NA,NA,1.3,2,300,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
"29","Acropora valenciennesi",179.333333333333,6,103.585069709233,NA,NA,NA,NA,NA,NA,1.15,2,400,3,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"30","Acropora valida",34.3,2,15.1320851173921,1.5,2,0.254558441227157,NA,NA,NA,0.7,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,1,0,0,"competitive","LC"
"31","Acropora yongei",59.34,2,14.0572828099886,NA,NA,NA,NA,NA,NA,1,2,200,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"32","Agaricia agaricites",2.78169230769231,26,4.63383012005603,2.03,4,0.100995049383621,NA,NA,NA,4.25,2,60,2,"colonial","brooder","gonochore",NA,0,1,1,0,1,"weedy","LC"
"33","Agaricia lamarcki",4.83333333333333,3,0.577350269189626,2.28666666666667,3,0.0321455025366432,NA,NA,NA,6.25,2,11.21,1,"colonial",NA,NA,NA,0,1,1,0,0,"weedy","VU"
"34","Astrea curta",2.6,2,0.14142135623731,NA,NA,NA,NA,NA,NA,8.15,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,1,0,1,1,"stress-tolerant","LC"
"35","Astreopora myriophthalma",7.75,2,3.53553390593274,NA,NA,NA,NA,NA,NA,2.2,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,"stress-tolerant","LC"
"36","Balanophyllia europaea",1.16166666666667,6,0.177247472948606,NA,NA,NA,NA,NA,NA,14.9,1,2,1,"solitary","brooder","hermaphrodite","yes",0,0,0,1,0,NA,"DD"
"37","Cladocora caespitosa",3.46,1,NA,NA,NA,NA,NA,NA,NA,3.55,2,50,1,"colonial","spawner","gonochore","no",0,0,0,1,0,NA,"DD"
"38","Coelastrea aspera",4,2,0.141421356237309,NA,NA,NA,NA,NA,NA,10,2,500,2,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,"weedy","LC"
"39","Colpophyllia natans",8.63931034482759,29,4.89913544197522,0.84,1,NA,NA,NA,NA,10.8,2,200,4,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"40","Cyphastrea ocellina",3.255,2,1.30814754519511,NA,NA,NA,NA,NA,NA,2.2,2,NA,NA,"colonial","brooder","hermaphrodite","yes",0,1,0,1,0,"weedy","VU"
"41","Cyphastrea serailia",5.9,4,3.60924738230378,NA,NA,NA,NA,NA,NA,1.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,1,"stress-tolerant","LC"
"42","Dendrogyra cylindrus",19.125,2,1.25723585694968,NA,NA,NA,NA,NA,NA,3.25,2,200,1,"colonial","spawner","gonochore",NA,0,0,0,0,1,"competitive","VU"
"43","Diploastrea heliopora",2.43239285714286,28,0.35286272005746,NA,NA,NA,NA,NA,NA,8,2,700,3,"colonial","spawner","gonochore","no",0,0,0,1,0,"stress-tolerant","NT"
"44","Diploria labyrinthiformis",4.08678571428571,28,0.518381052261669,1.395,4,0.169803808359334,NA,NA,NA,5.05,2,32.33,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","LC"
"45","Dipsastraea pallida",4.53333333333333,3,1.20138808606267,1.43,1,NA,NA,NA,NA,8.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","LC"
"46","Dipsastraea speciosa",6.37857142857143,14,1.54381075535561,NA,NA,NA,NA,NA,NA,8.7,2,75,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"LC"
"47","Endopachys bulbosa",25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Favites abdita",0.8,1,NA,NA,NA,NA,NA,NA,NA,11.25,2,100,2,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"49","Fungia fungites",2,1,NA,1.99,1,NA,0.41,1,NA,158,1,28,3,"solitary","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","NT"
"50","Gardineroseris planulata",9.9,3,3.57631094844953,1.63,1,NA,NA,NA,NA,3.2,2,NA,NA,"colonial","spawner","gonochore","no",0,1,1,1,0,"stress-tolerant","LC"
"51","Goniastrea edwardsi",9.8625,4,2.27133404265716,NA,NA,NA,NA,NA,NA,3.75,2,100,2,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,"stress-tolerant","LC"
"52","Goniastrea favulus",4.05,2,0.353553390593274,NA,NA,NA,NA,NA,NA,5.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","NT"
"53","Goniastrea retiformis",7.27,5,0.845281018360166,1.7,1,NA,NA,NA,NA,5,2,100,2,"colonial","spawner","hermaphrodite","no",0,1,0,1,1,"stress-tolerant","LC"
"54","Goniastrea stelligera",10,1,NA,NA,NA,NA,NA,NA,NA,4.15,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,1,"stress-tolerant","NT"
"55","Heliofungia actiniformis",5.76,1,NA,NA,NA,NA,NA,NA,NA,142,1,20,1,"solitary",NA,NA,NA,0,0,0,1,0,"stress-tolerant","VU"
"56","Herpolitha limax",10,1,NA,NA,NA,NA,NA,NA,NA,370,1,NA,NA,"colonial","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"57","Hydnophora microconos",8.9,2,3.67695526217005,1.37,1,NA,0.43,1,NA,5.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"58","Hydnophora rigida",71,1,NA,NA,NA,NA,NA,NA,NA,5.7,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,1,NA,"LC"
"59","Isopora brueggemanni",74.8,1,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,"colonial","brooder","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"60","Leptastrea purpurea",1.8,1,NA,1.63,1,NA,0.31,1,NA,5.9,2,100,1,"colonial","spawner","gonochore",NA,0,1,0,0,0,"weedy","LC"
"61","Lobactis scutaria",9.3,4,5.32478481568348,NA,NA,NA,NA,NA,NA,169,1,17,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"62","Lophelia pertusa",12.7,2,10.1823376490863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spawner","gonochore",NA,NA,NA,NA,NA,NA,NA,NA
"63","Madracis asperula",16.22,2,8.17415439051649,NA,NA,NA,NA,NA,NA,1.65,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
"64","Madracis mirabilis",22,1,NA,NA,NA,NA,NA,NA,NA,1.35,2,14.66,1,"colonial","brooder","hermaphrodite","no",1,0,0,0,0,NA,NA
"65","Meandrina meandrites",1.15125,16,0.179327447239215,NA,NA,NA,NA,NA,NA,13.15,2,16.3,1,"colonial","spawner","gonochore","no",0,1,0,0,2,"stress-tolerant","LC"
"66","Merulina ampliata",22.494,8,8.63536065918996,NA,NA,NA,NA,NA,NA,5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,1,"generalist","LC"
"67","Montastraea cavernosa",9.41638888888889,36,8.40637382424883,1.6,2,0,NA,NA,NA,8.5,2,250,4,"colonial",NA,"gonochore",NA,0,1,0,1,0,"stress-tolerant","LC"
"68","Montipora capitata",25.80875,4,9.97857235530213,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,2,0,0,0,"competitive","NT"
"69","Montipora digitata",41.494,11,33.5871124689218,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial","spawner","hermaphrodite","yes",1,0,0,0,0,"competitive","LC"
"70","Montipora foliosa",32.5,1,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"NT"
"71","Montipora undata",26,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,1,NA,"NT"
"72","Montipora verrilli",17.2,1,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"DD"
"73","Montipora verrucosa",27.6511538461538,13,11.4061450499075,NA,NA,NA,NA,NA,NA,1.1,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,1,0,2,"generalist","LC"
"74","Mussismilia braziliensis",8,1,NA,NA,NA,NA,NA,NA,NA,10.75,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,NA,"DD"
"75","Orbicella annularis",7.22857530120482,332,2.96256159221476,1.70567796610169,177,0.242196138632652,1.47581818181818,165,0.296894644874593,3.15,2,800,4,"colonial","spawner","hermaphrodite",NA,0,1,0,1,1,"stress-tolerant","EN"
"76","Orbicella faveolata",8.74545454545454,11,2.00716896965036,1.18,1,NA,0.948675862,3,0.0336454847064079,NA,NA,1000,4,NA,"spawner","hermaphrodite","no",NA,NA,NA,NA,NA,"generalist","EN"
"77","Orbicella franksi",5.21625,8,1.23246486475564,NA,NA,NA,0.835862069,1,NA,NA,NA,500,2,NA,"spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,"generalist","VU"
"78","Oulophyllia crispa",21,2,1.4142135623731,NA,NA,NA,NA,NA,NA,9.3,2,100,2,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,"stress-tolerant","NT"
"79","Paragoniastrea australensis",3.76666666666667,3,1.58850034099251,NA,NA,NA,NA,NA,NA,9.25,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,"stress-tolerant","LC"
"80","Pavona cactus",37.925,3,8.68971950065133,NA,NA,NA,NA,NA,NA,1.2,2,1000,1,"colonial","spawner","gonochore",NA,0,0,1,0,1,NA,"VU"
"81","Pavona clavus",14.2064516129032,31,4.87063962150564,1.665,4,0.172530190594767,NA,NA,NA,2.55,2,2000,1,"colonial","spawner","gonochore","no",0,0,1,0,1,"stress-tolerant","LC"
"82","Pavona duerdeni",10.2,2,2.26274169979695,NA,NA,NA,NA,NA,NA,2,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"83","Pavona gigantea",9.12117647058824,17,3.14077594384123,1.57666666666667,3,0.165630109984065,NA,NA,NA,4.2,2,NA,NA,"colonial","spawner","gonochore","no",0,0,0,1,0,"stress-tolerant","LC"
"84","Pavona maldivensis",12.05,2,1.48492424049175,NA,NA,NA,NA,NA,NA,3.5,2,30,1,"colonial",NA,NA,NA,0,1,1,0,1,NA,"LC"
"85","Pavona varians",3.8,4,0.852447456836295,1.965,2,0.00707106781186548,NA,NA,NA,7,2,NA,NA,"colonial","spawner","gonochore","no",0,1,1,0,1,"stress-tolerant","LC"
"86","Platygyra daedalea",22,1,NA,NA,NA,NA,NA,NA,NA,7.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"87","Platygyra lamellina",7.4,1,NA,NA,NA,NA,NA,NA,NA,8.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","NT"
"88","Platygyra sinensis",8.36666666666667,3,3.06648550189518,NA,NA,NA,NA,NA,NA,5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"89","Plesiastrea versipora",4.1375,8,2.52978683461106,NA,NA,NA,NA,NA,NA,3.75,2,300,3,"colonial","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"90","Pleuractis granulosa",5.72565891472868,129,3.26914740532634,NA,NA,NA,NA,NA,NA,120,1,13.5,3,"solitary","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"91","Pocillopora damicornis",35.4126086956522,46,20.5338341318564,1.92666666666667,3,0.180092568789868,NA,NA,NA,0.9,2,200,1,"colonial",NA,"hermaphrodite","yes",1,0,0,0,0,"weedy","LC"
"92","Pocillopora danae",8.2,1,NA,NA,NA,NA,NA,NA,NA,1,2,100,1,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"93","Pocillopora elegans",36.9,7,9.23868677536658,1.93,2,0.0565685424949239,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite","yes",1,0,0,0,0,"competitive","VU"
"94","Pocillopora eydouxi",41.3666666666667,6,12.8887030637945,NA,NA,NA,NA,NA,NA,0.9,2,100,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"95","Pocillopora inflata",31.5,1,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"96","Pocillopora ligulata",14.5,1,NA,NA,NA,NA,NA,NA,NA,0.7,2,50,1,"colonial",NA,NA,NA,1,0,0,0,0,NA,"LC"
"97","Pocillopora meandrina",20.483,7,15.0243978359645,1.42,1,NA,1.33,1,NA,0.65,2,100,1,"colonial","spawner","hermaphrodite","yes",1,0,0,0,0,"competitive","LC"
"98","Pocillopora verrucosa",28.9685714285714,7,8.94685685696645,NA,NA,NA,NA,NA,NA,0.5,2,50,1,"colonial","spawner","hermaphrodite","yes",1,0,0,0,0,"competitive","LC"
"99","Porites astreoides",3.72114130434783,92,1.47238671895101,1.535,20,0.143141446423496,0.589464962125,16,0.139280744197577,1.4,2,55,3,"colonial","brooder","gonochore",NA,0,1,0,1,0,"weedy","LC"
"100","Porites australiensis",12.4615384615385,13,4.55622988546789,1.325,1,NA,NA,NA,NA,1.23333333333333,3,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,"stress-tolerant","LC"
"101","Porites columnaris",5.585,10,0.843725205397008,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,2,NA,"LC"
"102","Porites compressa",20.7177894736842,19,10.949514809902,NA,NA,NA,NA,NA,NA,1.2,2,123,1,"colonial","spawner","gonochore","yes",1,1,0,0,0,"competitive","LC"
"103","Porites cylindrica",18.3576666666667,6,8.98762245906372,1.42,2,0.0565685424949239,0.44,1,NA,0.95,2,1000,1,"colonial","spawner","gonochore","yes",1,1,0,0,0,"weedy","NT"
"104","Porites evermanni",11.6,1,NA,NA,NA,NA,NA,NA,NA,0.9,2,120,1,"colonial","spawner","gonochore","yes",0,0,0,1,1,NA,"DD"
"105","Porites furcata",34.6,2,26.4457936163769,1.05,1,NA,NA,NA,NA,1.6,2,NA,NA,"colonial","brooder","gonochore",NA,1,0,0,0,0,"weedy","LC"
"106","Porites heronensis",10.5,1,NA,NA,NA,NA,NA,NA,NA,1.2,2,NA,NA,"colonial",NA,"gonochore",NA,0,1,0,1,1,NA,"LC"
"107","Porites lichen",16.3,1,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,1,NA,"LC"
"108","Porites lobata",9.84750278293135,77,4.67857644754425,1.37504347826087,46,0.129351537640088,0.792,5,0.563489130329947,1,2,685,2,"colonial","spawner","gonochore","yes",0,0,0,1,0,"stress-tolerant","NT"
"109","Porites lutea",14.4927857142857,70,6.03179580271001,1.27645238095238,42,0.200490277409295,2.06531818181818,22,0.584019682183305,1.1,3,400,1,"colonial","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"110","Porites mayeri",13,1,NA,1.17,2,0.0565685424949239,NA,NA,NA,1.45,2,400,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"111","Porites nigrescens",17.8,1,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"VU"
"112","Porites nodifera",11.2,1,NA,1.35,1,NA,0.92,1,NA,1.25,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"113","Porites porites",16.87875,8,10.0184564501153,NA,NA,NA,NA,NA,NA,2.25,2,30,4,"colonial","brooder","gonochore",NA,1,0,0,0,0,"weedy","LC"
"114","Porites rus",15.24,3,9.9240870612868,NA,NA,NA,NA,NA,NA,0.7,2,500,2,"colonial","spawner","gonochore",NA,0,1,1,0,2,"weedy","LC"
"115","Porites solida",13.46,5,5.16797832812793,1.194,1,NA,NA,NA,NA,1.45,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"116","Psammocora haimiana",29.5,2,0.707106781186548,NA,NA,NA,NA,NA,NA,3.15,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"117","Psammocora stellata",11.3,3,6.68430998682736,NA,NA,NA,NA,NA,NA,2.25,2,NA,NA,"colonial","spawner","gonochore","no",0,0,0,0,2,NA,"VU"
"118","Psammocora superficialis",3.56666666666667,3,2.29419557434263,NA,NA,NA,NA,NA,NA,1.55,2,NA,NA,"colonial","spawner",NA,NA,0,1,0,0,1,"generalist","LC"
"119","Pseudodiploria clivosa",6.4,1,NA,NA,NA,NA,NA,NA,NA,5.15,2,61,3,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,"stress-tolerant","LC"
"120","Pseudodiploria strigosa",5.0325,4,1.47305521507738,NA,NA,NA,NA,NA,NA,7.6,2,100,3,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,"stress-tolerant","LC"
"121","Seriatopora caliendrum",58,1,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","brooder",NA,NA,1,0,0,0,0,NA,"NT"
"122","Seriatopora hystrix",32.7,4,16.8338943800892,2.2,1,NA,NA,NA,NA,0.7,2,NA,NA,"colonial","brooder","hermaphrodite","yes",1,0,0,0,0,"weedy","LC"
"123","Siderastrea radians",3.25,1,NA,NA,NA,NA,NA,NA,NA,2.75,2,30,2,"colonial","brooder","gonochore","yes",0,0,0,1,0,"weedy","LC"
"124","Siderastrea siderea",8.07242424242424,33,6.08224415322124,NA,NA,NA,NA,NA,NA,3.95,2,130,4,"colonial","spawner","gonochore",NA,0,1,0,1,0,"stress-tolerant","LC"
"125","Solenastrea hyades",15,1,NA,NA,NA,NA,NA,NA,NA,3.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"126","Stephanocoenia intersepta",1.8,1,NA,NA,NA,NA,NA,NA,NA,2.4,2,60,5,"colonial","spawner","gonochore","no",0,1,0,1,0,"stress-tolerant","LC"
"127","Stylophora danae",12,1,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"LC"
"128","Stylophora pistillata",20.9215732590476,24,8.19684833725826,1.70310449992,25,0.234457008767086,NA,NA,NA,1.15,2,NA,NA,"colonial","brooder","hermaphrodite","yes",1,0,0,0,1,"weedy","NT"
"129","Turbinaria frondens",14,1,NA,NA,NA,NA,NA,NA,NA,1,2,400,1,"colonial","spawner","gonochore",NA,0,0,1,0,0,"generalist","LC"
"130","Turbinaria mesenterina",19.28,1,NA,NA,NA,NA,NA,NA,NA,2.9,2,100,2,"colonial","spawner","gonochore",NA,0,0,1,0,0,"competitive","VU"
"131","Acropora glauca",NA,NA,NA,1.46,1,NA,NA,NA,NA,1.1,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,1,0,0,"competitive","NT"
"132","Acropora horrida",NA,NA,NA,0.86,1,NA,NA,NA,NA,1.05,2,200,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","VU"
"133","Acropora longicyathus",NA,NA,NA,1.27,1,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,"competitive","LC"
"134","Agaricia fragilis",NA,NA,NA,2.31,1,NA,NA,NA,NA,4.25,2,4.74,1,"colonial","brooder",NA,NA,0,1,0,0,0,"weedy","DD"
"135","Agaricia undata",NA,NA,NA,2.45,2,0.014142135623731,NA,NA,NA,4.65,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"DD"
"136","Dichocoenia stokesi",NA,NA,NA,2.04,1,NA,NA,NA,NA,7.95,2,55,2,"colonial","spawner","gonochore",NA,0,1,0,1,0,"stress-tolerant","VU"
"137","Isopora palifera",NA,NA,NA,1.52,1,NA,NA,NA,NA,1.05,2,NA,NA,"colonial","brooder","hermaphrodite",NA,1,1,0,0,1,NA,"NT"
"138","Leptoria phrygia",NA,NA,NA,1.61,1,NA,NA,NA,NA,3.05,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,2,"stress-tolerant","NT"
"139","Leptoseris cucullata",NA,NA,NA,2.2375,4,0.0607590871118606,NA,NA,NA,2.7,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,NA
"140","Porites annae",NA,NA,NA,1.23,1,NA,NA,NA,NA,1.05,2,NA,NA,"colonial","spawner","gonochore","yes",0,0,1,0,1,"stress-tolerant","NT"
"141","Acanthastrea subechinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,1,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"142","Acropora abrolhosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2,1000,3,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"143","Acropora aculeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,40,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"144","Acropora acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,200,3,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"145","Acropora anthocercis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,100,2,"colonial","spawner","hermaphrodite",NA,1,0,1,0,0,NA,"VU"
"146","Acropora arabensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,NA,"NT"
"147","Acropora awi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,150,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"148","Acropora batunai",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2,125,2,"colonial",NA,NA,NA,1,0,1,0,0,NA,"VU"
